Age,Purchase Amount (USD),Previous Purchases,Category,Location,Season,Subscription Status,Shipping Type,Payment Method,Frequency of Purchases,coupon_prob,recommend_send_coupon,true_coupon_user
31,69,7,Accessories,West Virginia,Spring,No,Free Shipping,Credit Card,Bi-Weekly,23.19,0,0
63,34,2,Accessories,Nebraska,Fall,No,Free Shipping,Bank Transfer,Monthly,14.03,0,0
66,72,28,Accessories,Kansas,Summer,Yes,Standard,Debit Card,Quarterly,99.6,1,1
46,88,24,Clothing,South Carolina,Fall,Yes,Standard,Bank Transfer,Annually,99.53,1,1
40,45,42,Outerwear,Alabama,Spring,No,Free Shipping,PayPal,Fortnightly,19.32,0,0
27,41,24,Clothing,Virginia,Fall,No,Standard,Credit Card,Monthly,10.58,0,0
59,38,21,Clothing,Louisiana,Spring,Yes,Next Day Air,Venmo,Annually,99.61,1,1
26,31,6,Accessories,Illinois,Summer,No,Next Day Air,Credit Card,Fortnightly,28.08,0,1
43,67,27,Clothing,Washington,Summer,Yes,Standard,Venmo,Every 3 Months,99.8,1,1
19,53,31,Accessories,Iowa,Spring,No,Standard,Debit Card,Weekly,38.22,0,0
60,82,28,Footwear,Louisiana,Summer,No,Express,Credit Card,Fortnightly,13.33,0,0
61,89,32,Clothing,Georgia,Fall,Yes,Express,Venmo,Annually,99.17,1,1
70,69,19,Accessories,Alaska,Summer,Yes,Standard,Bank Transfer,Fortnightly,99.78,1,1
54,21,24,Clothing,Iowa,Spring,No,Standard,Debit Card,Monthly,33.61,0,1
68,94,9,Accessories,Alaska,Summer,No,Standard,Venmo,Quarterly,33.59,0,0
31,22,21,Footwear,New Mexico,Spring,No,Store Pickup,Venmo,Monthly,20.81,0,0
27,79,35,Footwear,Illinois,Spring,Yes,Next Day Air,Cash,Bi-Weekly,99.64,1,1
28,23,13,Accessories,Washington,Summer,No,Free Shipping,Venmo,Bi-Weekly,24.55,0,1
66,52,26,Clothing,North Carolina,Spring,No,Store Pickup,Cash,Weekly,21.42,0,0
22,59,16,Accessories,Mississippi,Fall,No,Free Shipping,Venmo,Every 3 Months,35.47,0,1
55,88,42,Clothing,Florida,Winter,Yes,Free Shipping,Bank Transfer,Fortnightly,99.67,1,1
60,44,1,Clothing,West Virginia,Winter,No,2-Day Shipping,Credit Card,Quarterly,21.69,0,0
32,41,33,Clothing,Delaware,Summer,Yes,Free Shipping,Venmo,Fortnightly,99.61,1,1
47,78,23,Clothing,Alaska,Winter,Yes,2-Day Shipping,Credit Card,Every 3 Months,99.7,1,1
34,29,5,Clothing,Oklahoma,Summer,No,Store Pickup,Credit Card,Monthly,21.58,0,0
23,21,14,Accessories,Minnesota,Fall,No,Store Pickup,Bank Transfer,Fortnightly,20.4,0,0
54,53,4,Clothing,Virginia,Winter,No,Next Day Air,Venmo,Annually,11.23,0,0
39,56,18,Accessories,Wyoming,Fall,No,Next Day Air,Credit Card,Monthly,18.12,0,1
67,39,40,Accessories,Alaska,Spring,Yes,Standard,Venmo,Annually,99.75,1,1
50,57,2,Accessories,Colorado,Fall,Yes,Standard,Bank Transfer,Quarterly,99.52,1,1
60,26,50,Accessories,Wisconsin,Winter,No,Free Shipping,Venmo,Every 3 Months,44.73,0,0
46,21,28,Outerwear,Maryland,Summer,No,Standard,Credit Card,Monthly,36.01,0,0
68,99,11,Footwear,South Carolina,Summer,No,Free Shipping,Cash,Weekly,16.26,0,0
64,62,47,Clothing,Indiana,Winter,Yes,Standard,PayPal,Quarterly,99.87,1,1
27,41,6,Clothing,Idaho,Summer,No,Free Shipping,Bank Transfer,Quarterly,23.93,0,1
26,44,39,Outerwear,Illinois,Summer,No,2-Day Shipping,Venmo,Annually,21.46,0,0
32,94,43,Clothing,Vermont,Summer,No,Standard,Bank Transfer,Quarterly,25.25,0,0
21,63,14,Footwear,South Carolina,Spring,Yes,2-Day Shipping,Credit Card,Weekly,99.56,1,1
68,59,42,Footwear,Washington,Summer,No,Free Shipping,Cash,Every 3 Months,20.82,0,0
23,22,26,Clothing,Alabama,Fall,No,Free Shipping,Credit Card,Weekly,11.95,0,0
31,76,28,Outerwear,Kentucky,Spring,No,Standard,Venmo,Every 3 Months,31.69,0,0
22,33,30,Accessories,California,Summer,No,Next Day Air,Debit Card,Every 3 Months,24.18,0,1
69,55,31,Clothing,Nevada,Spring,No,2-Day Shipping,Debit Card,Monthly,19.13,0,0
47,73,26,Accessories,Utah,Summer,No,Next Day Air,Venmo,Every 3 Months,40.82,0,0
51,26,47,Clothing,Wisconsin,Summer,No,Standard,PayPal,Bi-Weekly,41.05,0,0
53,93,38,Clothing,Texas,Spring,No,Standard,Credit Card,Quarterly,26.13,0,0
50,62,11,Clothing,Michigan,Fall,Yes,Standard,Debit Card,Weekly,99.55,1,1
24,42,11,Accessories,New Jersey,Summer,No,Free Shipping,Debit Card,Quarterly,22.49,0,0
50,53,22,Clothing,Delaware,Spring,No,Store Pickup,Debit Card,Monthly,15.27,0,1
47,32,40,Accessories,West Virginia,Spring,No,Next Day Air,PayPal,Bi-Weekly,29.72,0,1
60,88,33,Clothing,Illinois,Spring,No,Store Pickup,Debit Card,Bi-Weekly,17.98,0,0
47,31,17,Accessories,Minnesota,Spring,No,Next Day Air,PayPal,Monthly,26.83,0,0
65,87,9,Clothing,Illinois,Fall,No,2-Day Shipping,Cash,Fortnightly,18.02,0,0
20,20,34,Accessories,Washington,Spring,Yes,Express,Cash,Bi-Weekly,99.67,1,1
69,77,46,Accessories,Ohio,Fall,No,Free Shipping,Cash,Quarterly,23.4,0,1
35,62,37,Outerwear,Texas,Summer,Yes,Standard,PayPal,Monthly,99.71,1,1
38,68,39,Outerwear,North Dakota,Winter,Yes,Next Day Air,PayPal,Fortnightly,99.77,1,1
65,59,49,Accessories,Florida,Summer,No,Express,Credit Card,Weekly,21.85,0,0
20,33,44,Clothing,Indiana,Summer,No,Free Shipping,Bank Transfer,Annually,32.88,0,1
69,68,39,Accessories,Nevada,Spring,No,2-Day Shipping,Debit Card,Fortnightly,24.28,0,0
50,76,38,Footwear,Ohio,Summer,No,Free Shipping,Bank Transfer,Bi-Weekly,17.92,0,0
40,55,36,Clothing,Montana,Winter,No,Standard,Debit Card,Annually,16.2,0,0
46,99,50,Outerwear,Louisiana,Winter,Yes,Express,Debit Card,Weekly,99.5,1,1
47,30,8,Accessories,South Carolina,Fall,No,Standard,Bank Transfer,Quarterly,24.4,0,0
43,94,5,Accessories,New York,Winter,Yes,Store Pickup,Debit Card,Bi-Weekly,99.61,1,1
42,20,40,Clothing,Iowa,Spring,No,Express,Cash,Quarterly,31.11,0,1
30,96,50,Accessories,Oregon,Spring,No,2-Day Shipping,Credit Card,Quarterly,40.12,0,0
57,71,18,Footwear,California,Winter,No,Next Day Air,Debit Card,Every 3 Months,16.17,0,0
50,63,20,Clothing,North Dakota,Summer,No,Free Shipping,Credit Card,Monthly,18.59,0,0
21,67,10,Footwear,North Carolina,Winter,No,Free Shipping,Bank Transfer,Quarterly,18.1,0,0
39,69,19,Accessories,New Hampshire,Fall,Yes,Store Pickup,Bank Transfer,Weekly,99.62,1,1
33,72,28,Footwear,Wisconsin,Fall,No,Store Pickup,Bank Transfer,Quarterly,29.03,0,0
56,28,13,Footwear,West Virginia,Spring,No,Standard,Cash,Annually,19.77,0,0
54,88,35,Clothing,Georgia,Summer,No,2-Day Shipping,Debit Card,Annually,12.94,0,1
39,85,18,Clothing,Illinois,Winter,No,Next Day Air,Cash,Weekly,22.35,0,0
59,53,29,Clothing,Washington,Winter,Yes,2-Day Shipping,Cash,Quarterly,99.66,1,1
62,35,34,Clothing,South Carolina,Spring,No,Store Pickup,Venmo,Weekly,22.5,0,0
31,51,27,Outerwear,Montana,Summer,No,Free Shipping,PayPal,Every 3 Months,22.0,0,0
20,97,42,Clothing,North Dakota,Summer,No,Express,PayPal,Quarterly,21.1,0,1
58,71,3,Clothing,Alabama,Summer,No,Store Pickup,PayPal,Annually,10.28,0,1
56,33,46,Clothing,Tennessee,Spring,No,Express,Cash,Bi-Weekly,19.37,0,0
24,95,44,Accessories,Missouri,Fall,Yes,Standard,Debit Card,Quarterly,99.78,1,1
18,39,38,Outerwear,Massachusetts,Fall,No,Next Day Air,Cash,Fortnightly,30.81,0,0
42,23,6,Clothing,Pennsylvania,Summer,Yes,Standard,PayPal,Quarterly,99.77,1,1
51,45,39,Outerwear,New York,Fall,No,Free Shipping,Bank Transfer,Every 3 Months,24.3,0,0
25,100,4,Accessories,Kentucky,Winter,Yes,2-Day Shipping,Debit Card,Monthly,99.51,1,1
44,37,21,Clothing,Nebraska,Fall,No,Next Day Air,Venmo,Annually,17.91,0,0
20,89,34,Clothing,Oklahoma,Winter,Yes,Store Pickup,Debit Card,Fortnightly,99.71,1,1
39,25,10,Clothing,Ohio,Spring,No,2-Day Shipping,Venmo,Annually,22.86,0,0
52,83,24,Clothing,Texas,Fall,No,Express,Cash,Fortnightly,17.24,0,1
37,25,40,Clothing,Alabama,Fall,No,Next Day Air,Debit Card,Fortnightly,18.93,0,1
31,79,10,Accessories,New Hampshire,Spring,Yes,Standard,Venmo,Annually,99.77,1,1
67,93,12,Clothing,West Virginia,Fall,Yes,Next Day Air,Credit Card,Bi-Weekly,99.65,1,1
65,21,6,Clothing,Connecticut,Winter,No,2-Day Shipping,Venmo,Weekly,14.49,0,0
31,44,9,Clothing,Alaska,Winter,No,Standard,Credit Card,Fortnightly,28.05,0,0
22,34,35,Clothing,Hawaii,Spring,No,Store Pickup,Credit Card,Annually,18.6,0,0
51,68,37,Footwear,Wyoming,Spring,No,Next Day Air,Bank Transfer,Weekly,17.56,0,1
25,36,44,Accessories,Alabama,Spring,Yes,Next Day Air,Debit Card,Bi-Weekly,99.65,1,1
35,51,19,Accessories,Wyoming,Winter,Yes,Next Day Air,Venmo,Fortnightly,99.72,1,1
25,47,27,Accessories,Virginia,Winter,No,2-Day Shipping,PayPal,Every 3 Months,12.93,0,1
46,41,12,Clothing,Wisconsin,Fall,No,Store Pickup,Credit Card,Annually,25.52,0,0
23,25,37,Footwear,Idaho,Fall,No,Next Day Air,Credit Card,Monthly,20.52,0,1
25,21,39,Footwear,Connecticut,Spring,No,2-Day Shipping,Debit Card,Monthly,13.36,0,0
18,50,18,Clothing,Montana,Winter,No,2-Day Shipping,Cash,Monthly,16.33,0,0
50,24,5,Accessories,Alabama,Spring,No,Next Day Air,Debit Card,Monthly,20.1,0,0
34,78,8,Footwear,Hawaii,Summer,No,Store Pickup,Debit Card,Quarterly,19.53,0,1
41,77,8,Accessories,Montana,Winter,No,Free Shipping,Venmo,Monthly,17.42,0,0
52,81,7,Clothing,Texas,Summer,No,Express,Credit Card,Fortnightly,18.73,0,0
67,81,49,Accessories,North Dakota,Summer,No,Next Day Air,Credit Card,Weekly,26.66,0,0
21,64,17,Outerwear,West Virginia,Summer,Yes,Store Pickup,Debit Card,Fortnightly,99.75,1,1
24,50,10,Clothing,Nevada,Winter,No,Store Pickup,Venmo,Every 3 Months,22.3,0,0
44,25,45,Clothing,Montana,Spring,No,Store Pickup,Credit Card,Annually,13.82,0,0
57,66,35,Accessories,California,Summer,No,Free Shipping,Venmo,Annually,13.55,0,0
34,35,2,Clothing,Nebraska,Spring,No,Express,Bank Transfer,Weekly,16.0,0,0
57,52,30,Clothing,Missouri,Fall,No,Standard,Debit Card,Bi-Weekly,24.3,0,0
59,40,16,Accessories,Maine,Winter,No,Express,PayPal,Monthly,10.93,0,0
61,96,43,Clothing,New York,Summer,No,Free Shipping,Bank Transfer,Quarterly,22.84,0,1
44,84,16,Outerwear,Illinois,Fall,Yes,Store Pickup,Debit Card,Every 3 Months,99.63,1,1
57,92,23,Outerwear,New Mexico,Fall,No,Free Shipping,Debit Card,Bi-Weekly,20.88,0,0
65,81,1,Outerwear,Washington,Spring,No,Store Pickup,Credit Card,Bi-Weekly,21.74,0,0
18,66,5,Clothing,Nevada,Spring,No,Next Day Air,Credit Card,Bi-Weekly,24.07,0,0
48,23,45,Accessories,Utah,Summer,No,Standard,PayPal,Every 3 Months,35.66,0,0
28,23,30,Outerwear,South Carolina,Summer,No,Store Pickup,Cash,Every 3 Months,28.25,0,1
28,32,14,Accessories,Arkansas,Spring,No,Standard,Debit Card,Bi-Weekly,36.76,0,1
18,26,21,Clothing,Georgia,Winter,Yes,Store Pickup,Bank Transfer,Every 3 Months,99.49,1,1
41,40,6,Outerwear,Utah,Winter,No,Store Pickup,Venmo,Annually,23.22,0,0
69,46,32,Clothing,Washington,Summer,No,Next Day Air,PayPal,Fortnightly,28.14,0,0
69,62,26,Footwear,Texas,Fall,No,Store Pickup,Bank Transfer,Weekly,11.9,0,1
40,57,12,Clothing,Minnesota,Fall,No,Store Pickup,PayPal,Every 3 Months,18.89,0,0
23,89,9,Clothing,Maine,Spring,No,Free Shipping,Bank Transfer,Every 3 Months,16.26,0,0
70,58,18,Clothing,Vermont,Fall,No,2-Day Shipping,Venmo,Monthly,16.83,0,0
55,70,46,Footwear,Hawaii,Summer,No,Standard,Cash,Quarterly,25.31,0,0
44,54,20,Accessories,New Jersey,Winter,Yes,Next Day Air,PayPal,Quarterly,99.71,1,1
18,33,48,Outerwear,Oklahoma,Summer,No,Free Shipping,Bank Transfer,Monthly,27.01,0,1
53,92,42,Clothing,Idaho,Spring,No,2-Day Shipping,Credit Card,Annually,19.79,0,1
69,59,48,Accessories,Rhode Island,Spring,No,Next Day Air,PayPal,Quarterly,22.93,0,0
27,77,11,Outerwear,Pennsylvania,Fall,Yes,Next Day Air,Cash,Annually,99.72,1,1
29,63,17,Clothing,Pennsylvania,Summer,No,Store Pickup,Cash,Every 3 Months,27.74,0,0
61,51,46,Outerwear,Pennsylvania,Fall,Yes,Standard,Cash,Bi-Weekly,99.75,1,1
49,87,31,Footwear,Arizona,Spring,No,Express,Debit Card,Every 3 Months,13.7,0,0
37,81,37,Accessories,Arkansas,Summer,Yes,Free Shipping,Cash,Weekly,99.78,1,1
39,90,49,Accessories,Utah,Fall,No,Free Shipping,Debit Card,Quarterly,25.87,0,0
60,51,17,Footwear,Oregon,Summer,No,Express,Bank Transfer,Annually,20.14,0,1
28,97,16,Accessories,North Carolina,Fall,No,Free Shipping,Debit Card,Weekly,19.91,0,1
48,47,19,Accessories,Massachusetts,Summer,No,Store Pickup,PayPal,Monthly,19.36,0,0
47,91,48,Clothing,Arkansas,Winter,Yes,2-Day Shipping,PayPal,Monthly,99.71,1,1
26,78,20,Clothing,Hawaii,Fall,Yes,Store Pickup,Credit Card,Bi-Weekly,99.53,1,1
22,90,34,Accessories,Montana,Fall,No,Free Shipping,Cash,Annually,13.39,0,0
70,80,30,Accessories,South Dakota,Summer,No,Store Pickup,Bank Transfer,Monthly,17.65,0,0
24,81,43,Outerwear,Washington,Winter,No,2-Day Shipping,Venmo,Weekly,26.67,0,0
36,56,5,Accessories,Indiana,Winter,No,Next Day Air,Bank Transfer,Every 3 Months,49.12,0,1
24,71,46,Clothing,Virginia,Winter,Yes,Standard,Debit Card,Monthly,99.31,1,1
45,78,1,Accessories,Massachusetts,Spring,No,Store Pickup,Cash,Quarterly,24.31,0,0
64,48,18,Clothing,Utah,Winter,No,Standard,Cash,Bi-Weekly,26.6,0,1
35,38,9,Clothing,Georgia,Winter,No,2-Day Shipping,Credit Card,Every 3 Months,16.65,0,0
35,39,8,Accessories,South Dakota,Fall,Yes,Free Shipping,Bank Transfer,Quarterly,99.56,1,1
52,65,25,Clothing,Montana,Winter,Yes,Next Day Air,Venmo,Annually,99.56,1,1
24,74,23,Clothing,Idaho,Fall,No,Standard,Credit Card,Weekly,23.23,0,0
44,55,47,Footwear,New York,Summer,No,2-Day Shipping,Cash,Weekly,19.66,0,0
50,38,36,Footwear,California,Summer,No,2-Day Shipping,Cash,Weekly,12.1,0,0
28,86,19,Accessories,Pennsylvania,Summer,No,Next Day Air,Credit Card,Weekly,31.23,0,0
49,53,45,Footwear,Rhode Island,Summer,Yes,Next Day Air,Venmo,Fortnightly,99.63,1,1
62,91,17,Accessories,Rhode Island,Summer,Yes,Express,Bank Transfer,Bi-Weekly,99.36,1,1
67,84,7,Accessories,Virginia,Fall,Yes,Express,Debit Card,Annually,98.64,1,1
63,90,13,Clothing,Oregon,Spring,No,Store Pickup,Venmo,Every 3 Months,38.9,0,0
50,84,47,Clothing,Ohio,Winter,Yes,2-Day Shipping,PayPal,Fortnightly,99.69,1,1
53,68,7,Clothing,Montana,Spring,No,Express,Debit Card,Quarterly,17.37,0,0
56,85,50,Clothing,Montana,Winter,Yes,Standard,Cash,Fortnightly,99.65,1,1
24,89,26,Clothing,Mississippi,Winter,Yes,Next Day Air,Credit Card,Weekly,99.81,1,1
31,88,50,Outerwear,New Jersey,Spring,No,Express,Credit Card,Bi-Weekly,20.39,0,0
39,38,22,Footwear,Idaho,Summer,No,Free Shipping,PayPal,Monthly,17.32,0,0
63,88,45,Outerwear,Tennessee,Fall,No,Standard,Bank Transfer,Fortnightly,25.96,0,0
39,23,49,Footwear,Montana,Winter,No,Express,PayPal,Annually,9.45,0,1
35,97,43,Accessories,Washington,Summer,No,Store Pickup,Cash,Weekly,23.01,0,1
31,37,10,Outerwear,Idaho,Summer,No,Store Pickup,Venmo,Fortnightly,30.77,0,0
50,90,36,Clothing,Iowa,Summer,Yes,Store Pickup,Debit Card,Fortnightly,99.78,1,1
54,90,21,Clothing,Utah,Winter,No,Standard,PayPal,Every 3 Months,30.23,0,0
23,30,24,Accessories,Vermont,Spring,No,2-Day Shipping,PayPal,Fortnightly,24.3,0,0
49,74,33,Outerwear,Alabama,Winter,No,Next Day Air,Bank Transfer,Weekly,19.2,0,0
44,49,30,Outerwear,Maine,Summer,No,2-Day Shipping,PayPal,Fortnightly,17.75,0,0
53,62,27,Accessories,Alaska,Winter,No,Free Shipping,PayPal,Bi-Weekly,20.73,0,1
53,91,14,Clothing,Utah,Winter,Yes,Free Shipping,Credit Card,Every 3 Months,99.71,1,1
42,23,33,Clothing,Wisconsin,Winter,No,Store Pickup,Debit Card,Fortnightly,37.71,0,0
43,58,45,Clothing,Tennessee,Fall,No,Express,Credit Card,Every 3 Months,18.54,0,0
49,34,16,Clothing,Illinois,Spring,Yes,Standard,Venmo,Monthly,99.7,1,1
69,94,23,Clothing,Oregon,Winter,No,2-Day Shipping,Debit Card,Every 3 Months,34.61,0,1
41,70,33,Accessories,Georgia,Spring,No,Express,Bank Transfer,Monthly,14.93,0,0
69,91,42,Footwear,Michigan,Summer,No,Express,PayPal,Quarterly,13.85,0,0
56,37,18,Accessories,Delaware,Spring,Yes,2-Day Shipping,Venmo,Fortnightly,99.66,1,1
69,25,28,Accessories,Vermont,Summer,No,Store Pickup,Venmo,Every 3 Months,24.59,0,0
50,100,20,Accessories,Idaho,Fall,No,Standard,Debit Card,Weekly,24.82,0,0
65,20,40,Clothing,Minnesota,Summer,No,Express,Venmo,Weekly,20.46,0,0
65,83,18,Footwear,Alabama,Fall,Yes,Standard,Debit Card,Fortnightly,99.39,1,1
19,28,21,Clothing,Georgia,Spring,Yes,2-Day Shipping,Credit Card,Every 3 Months,99.6,1,1
69,81,21,Accessories,Mississippi,Summer,No,2-Day Shipping,Credit Card,Every 3 Months,35.36,0,0
51,90,32,Accessories,Alaska,Fall,No,Next Day Air,Credit Card,Fortnightly,29.06,0,0
28,72,18,Clothing,Mississippi,Fall,No,Standard,PayPal,Fortnightly,33.69,0,0
70,22,2,Accessories,Missouri,Spring,No,Free Shipping,Cash,Weekly,25.39,0,0
19,23,43,Accessories,Kentucky,Winter,No,Free Shipping,PayPal,Bi-Weekly,16.09,0,0
23,97,36,Accessories,Delaware,Summer,No,2-Day Shipping,Venmo,Quarterly,22.73,0,0
30,100,9,Accessories,Utah,Fall,No,Next Day Air,PayPal,Every 3 Months,32.13,0,0
18,71,1,Clothing,Montana,Winter,Yes,Store Pickup,Cash,Weekly,99.45,1,1
23,28,25,Clothing,Rhode Island,Spring,No,Standard,Credit Card,Monthly,18.73,0,0
47,85,36,Accessories,Idaho,Fall,No,Next Day Air,Debit Card,Every 3 Months,31.18,0,0
37,24,11,Accessories,Vermont,Fall,No,Next Day Air,Credit Card,Quarterly,23.75,0,0
50,79,39,Outerwear,Montana,Fall,Yes,2-Day Shipping,Credit Card,Quarterly,99.57,1,1
58,47,2,Footwear,Idaho,Fall,No,Next Day Air,Cash,Monthly,19.68,0,1
27,45,31,Accessories,Alaska,Summer,No,Standard,Credit Card,Weekly,29.35,0,0
66,25,3,Accessories,Maine,Winter,Yes,Store Pickup,Credit Card,Every 3 Months,99.4,1,1
69,28,30,Clothing,Wyoming,Spring,No,Store Pickup,Credit Card,Annually,12.6,0,0
31,94,3,Clothing,Pennsylvania,Winter,Yes,2-Day Shipping,Venmo,Every 3 Months,99.76,1,1
23,52,45,Accessories,Alabama,Winter,Yes,Next Day Air,PayPal,Monthly,99.56,1,1
23,39,4,Clothing,Louisiana,Spring,No,2-Day Shipping,Credit Card,Weekly,17.11,0,1
39,55,23,Clothing,North Dakota,Winter,No,Free Shipping,Credit Card,Monthly,17.57,0,0
36,52,49,Footwear,California,Winter,No,Free Shipping,PayPal,Monthly,9.92,0,0
37,75,23,Accessories,Alabama,Winter,No,Next Day Air,Venmo,Bi-Weekly,20.46,0,1
24,95,14,Footwear,Virginia,Winter,No,2-Day Shipping,Credit Card,Bi-Weekly,7.76,0,0
32,23,35,Accessories,Missouri,Summer,Yes,Next Day Air,Bank Transfer,Fortnightly,99.82,1,1
47,54,6,Clothing,Colorado,Spring,No,Store Pickup,Debit Card,Weekly,14.04,0,0
66,54,27,Outerwear,Maryland,Fall,No,Free Shipping,Credit Card,Monthly,25.28,0,0
24,23,4,Clothing,Kansas,Fall,No,Store Pickup,Bank Transfer,Bi-Weekly,10.29,0,0
65,92,45,Accessories,Iowa,Fall,No,Store Pickup,Cash,Every 3 Months,29.73,0,0
19,23,35,Clothing,Vermont,Winter,No,Next Day Air,Credit Card,Bi-Weekly,22.11,0,1
29,62,44,Footwear,Tennessee,Winter,No,Store Pickup,Venmo,Monthly,16.79,0,1
19,30,19,Clothing,Vermont,Summer,No,Free Shipping,Cash,Every 3 Months,23.04,0,0
70,80,3,Accessories,Virginia,Winter,No,Express,Bank Transfer,Monthly,8.21,0,0
59,32,46,Clothing,Illinois,Summer,No,Standard,Venmo,Fortnightly,28.18,0,1
20,23,2,Clothing,Alabama,Spring,No,Store Pickup,PayPal,Annually,11.58,0,0
50,96,33,Clothing,North Carolina,Fall,Yes,2-Day Shipping,Credit Card,Quarterly,99.62,1,1
38,48,38,Clothing,Oregon,Fall,No,Next Day Air,Debit Card,Fortnightly,39.47,0,0
55,23,6,Footwear,New Mexico,Winter,No,Next Day Air,PayPal,Every 3 Months,24.39,0,0
54,70,23,Clothing,Mississippi,Summer,Yes,Express,Credit Card,Fortnightly,99.77,1,1
70,54,33,Clothing,Nevada,Summer,No,2-Day Shipping,Credit Card,Bi-Weekly,17.67,0,0
53,94,48,Clothing,Wyoming,Spring,Yes,Standard,Debit Card,Every 3 Months,99.7,1,1
68,67,45,Clothing,New York,Winter,No,Express,Bank Transfer,Every 3 Months,20.98,0,0
46,20,14,Clothing,Oklahoma,Spring,No,Store Pickup,Cash,Fortnightly,27.34,0,0
45,41,11,Clothing,Rhode Island,Winter,No,Express,PayPal,Bi-Weekly,11.41,0,0
30,65,5,Footwear,Kansas,Fall,No,Next Day Air,PayPal,Quarterly,13.17,0,0
49,59,7,Outerwear,North Dakota,Fall,No,Store Pickup,Venmo,Bi-Weekly,20.39,0,0
60,79,1,Clothing,Alabama,Fall,No,Express,PayPal,Every 3 Months,12.02,0,1
31,39,6,Clothing,Maryland,Winter,No,Store Pickup,Credit Card,Every 3 Months,28.92,0,1
50,97,30,Clothing,Colorado,Spring,No,Standard,PayPal,Quarterly,19.61,0,0
70,35,33,Clothing,Indiana,Fall,Yes,2-Day Shipping,Venmo,Fortnightly,99.85,1,1
40,24,50,Clothing,Colorado,Fall,No,2-Day Shipping,Bank Transfer,Every 3 Months,15.13,0,0
59,61,21,Accessories,New Jersey,Summer,No,Free Shipping,Venmo,Bi-Weekly,20.79,0,0
19,70,48,Footwear,Nevada,Fall,Yes,Standard,PayPal,Bi-Weekly,99.49,1,1
38,22,41,Accessories,Idaho,Fall,No,Next Day Air,Bank Transfer,Quarterly,29.1,0,0
69,33,16,Outerwear,Michigan,Spring,No,2-Day Shipping,Debit Card,Every 3 Months,24.64,0,1
50,31,4,Accessories,Indiana,Summer,No,Express,PayPal,Quarterly,38.33,0,0
51,98,8,Footwear,Connecticut,Fall,No,Express,Credit Card,Annually,6.91,0,0
29,97,16,Footwear,Alaska,Fall,No,2-Day Shipping,Venmo,Monthly,18.36,0,0
54,67,8,Clothing,Virginia,Summer,Yes,Standard,Debit Card,Weekly,99.32,1,1
62,45,31,Clothing,South Carolina,Winter,No,Next Day Air,Credit Card,Weekly,23.09,0,1
21,51,50,Clothing,Louisiana,Winter,Yes,Express,Cash,Every 3 Months,99.56,1,1
54,76,37,Outerwear,Kentucky,Spring,Yes,Free Shipping,Venmo,Weekly,99.64,1,1
40,47,39,Clothing,New Jersey,Summer,Yes,Express,Venmo,Every 3 Months,99.67,1,1
22,56,3,Accessories,Nebraska,Spring,No,Standard,Cash,Fortnightly,28.02,0,1
56,94,31,Clothing,Rhode Island,Winter,No,Store Pickup,Cash,Bi-Weekly,12.95,0,0
29,32,3,Accessories,Florida,Winter,Yes,Free Shipping,Credit Card,Every 3 Months,99.72,1,1
31,42,32,Outerwear,Florida,Fall,No,Next Day Air,Bank Transfer,Bi-Weekly,27.83,0,0
43,47,28,Footwear,Mississippi,Summer,Yes,Store Pickup,Venmo,Quarterly,99.77,1,1
30,31,46,Accessories,Illinois,Summer,No,Store Pickup,Cash,Fortnightly,23.47,0,0
28,33,28,Accessories,Texas,Fall,No,2-Day Shipping,Bank Transfer,Weekly,18.07,0,0
70,23,17,Clothing,Oklahoma,Spring,No,Standard,PayPal,Fortnightly,30.84,0,0
27,20,31,Accessories,Illinois,Winter,Yes,Store Pickup,PayPal,Quarterly,99.6,1,1
29,52,18,Accessories,Florida,Summer,No,Express,Bank Transfer,Annually,18.79,0,0
69,85,29,Clothing,Massachusetts,Fall,Yes,2-Day Shipping,Credit Card,Monthly,99.49,1,1
66,79,19,Clothing,Missouri,Winter,No,Store Pickup,Bank Transfer,Monthly,19.31,0,1
51,68,49,Accessories,Kansas,Summer,No,Store Pickup,Debit Card,Bi-Weekly,14.02,0,0
49,53,19,Clothing,Virginia,Spring,No,Express,PayPal,Monthly,9.06,0,0
50,61,48,Accessories,Tennessee,Summer,No,Next Day Air,Venmo,Fortnightly,33.97,0,0
44,26,35,Clothing,New Hampshire,Fall,No,Next Day Air,Cash,Annually,23.03,0,0
57,20,12,Outerwear,South Dakota,Spring,No,Free Shipping,Debit Card,Monthly,21.14,0,0
62,47,48,Accessories,West Virginia,Summer,Yes,Express,PayPal,Weekly,99.63,1,1
23,98,17,Clothing,Iowa,Summer,No,Next Day Air,Debit Card,Bi-Weekly,34.85,0,1
63,69,22,Clothing,Alabama,Summer,No,Next Day Air,Debit Card,Monthly,17.67,0,1
23,83,22,Accessories,Maine,Spring,No,2-Day Shipping,PayPal,Fortnightly,17.76,0,0
20,20,40,Accessories,Utah,Summer,Yes,Store Pickup,Debit Card,Bi-Weekly,99.73,1,1
47,85,21,Accessories,California,Fall,No,Express,Venmo,Bi-Weekly,12.5,0,1
30,71,15,Clothing,South Dakota,Summer,No,Standard,Cash,Monthly,23.0,0,0
48,24,13,Clothing,Louisiana,Summer,No,Store Pickup,Venmo,Quarterly,19.15,0,1
60,63,47,Accessories,Arizona,Summer,No,Store Pickup,PayPal,Every 3 Months,17.03,0,0
